"Table 3 - Ratio of median house price to median gross annual workplace-based earnings by former local authority district, England and Wales, 2020 to 2024",,,,,,,,
Country/Region code,Country/Region name,Local authority code,Local authority name,2020,2021,2022,2023,2024
E12000001,North East,E06000001,Hartlepool,4.94,4.65,4.73,4.59,4.8
E12000001,North East,E06000002,Middlesbrough,5.42,4.95,4.74,4.8,4.51
E12000001,North East,E06000003,Redcar and Cleveland,5.84,5.67,5.2,5.38,4.68
E12000001,North East,E06000004,Stockton-on-Tees,5.56,5.22,5.73,5.58,4.78
E12000001,North East,E06000005,Darlington,5.53,5.27,5.45,4.8,5.26
E12000001,North East,E06000047,County Durham,5.15,4.69,4.44,4.36,4.34
E12000001,North East,E06000057,Northumberland,7.04,6.16,6.62,6.49,5.73
E12000001,North East,E08000021,Newcastle upon Tyne,6.06,5.97,6.06,5.54,5.69
E12000001,North East,E08000022,North Tyneside,6.78,6.15,6.29,5.42,5.67
E12000001,North East,E08000023,South Tyneside,6.05,5.31,5.48,4.88,5.22
E12000001,North East,E08000024,Sunderland,5.43,5.15,5,4.56,4.75
E12000001,North East,E08000037,Gateshead,5.92,5.12,5.1,4.98,4.87
E12000002,North West,E06000006,Halton,5.58,4.88,4.76,4.99,5.24
E12000002,North West,E06000007,Warrington,7.34,7.43,7.49,6.38,6.2
E12000002,North West,E06000008,Blackburn with Darwen,5.26,4.95,5.13,4.51,4.69
E12000002,North West,E06000009,Blackpool,4.4,4.84,4.44,3.94,4.18
E12000002,North West,E06000049,Cheshire East,9.06,8.72,8.24,8.24,7.6
E12000002,North West,E06000050,Cheshire West and Chester,7.56,7.55,7.61,6.87,6.93
E12000002,North West,E06000063,Cumberland,4.98,4.88,4.6,4.55,4.15
E12000002,North West,E06000064,Westmorland and Furness,7.39,7.49,7.4,6.21,5.92
E12000002,North West,E07000117,Burnley,5.12,4.84,4.17,4.14,4.18
E12000002,North West,E07000118,Chorley,7.2,6.44,6.95,6.06,6.29
E12000002,North West,E07000119,Fylde,6.85,7.04,6.05,5.8,5.43
E12000002,North West,E07000120,Hyndburn,4.64,4.23,4.25,4.44,4.08
E12000002,North West,E07000121,Lancaster,6.4,5.96,6.24,5.96,5.76
E12000002,North West,E07000122,Pendle,5.54,5.05,4.49,4.83,4.52
E12000002,North West,E07000123,Preston,6.24,5.93,6.51,5.88,5.04
E12000002,North West,E07000124,Ribble Valley,6.6,7.15,6.27,6.46,5.57
E12000002,North West,E07000125,Rossendale,7.26,6.39,6.15,5.96,5.97
E12000002,North West,E07000126,South Ribble,6.3,6.31,6.43,5.53,6.16
E12000002,North West,E07000127,West Lancashire,8.01,6.59,6.53,6.79,7.12
E12000002,North West,E07000128,Wyre,7.53,6.85,6.9,6.55,6.26
E12000002,North West,E08000001,Bolton,6.13,6.37,6.16,6.4,6.21
E12000002,North West,E08000002,Bury,7.8,7.93,7.52,6.68,7.06
E12000002,North West,E08000003,Manchester,7.16,7.01,6.53,6.94,6.11
E12000002,North West,E08000004,Oldham,6.28,6.33,6.18,5.84,6.14
E12000002,North West,E08000005,Rochdale,6.42,6.35,5.96,6.25,6.11
E12000002,North West,E08000006,Salford,7.08,7.02,6.5,5.99,5.98
E12000002,North West,E08000007,Stockport,10.06,9.29,9,8.58,8.61
E12000002,North West,E08000008,Tameside,6.79,7.38,7.16,6.34,6.87
E12000002,North West,E08000009,Trafford,9.77,10.21,10.87,9.84,9.63
E12000002,North West,E08000010,Wigan,5.96,6.31,6.17,6,5.87
E12000002,North West,E08000011,Knowsley,5.93,5.69,5.83,5.04,4.99
E12000002,North West,E08000012,Liverpool,5.16,4.84,4.66,4.37,4.68
E12000002,North West,E08000013,St. Helens,4.93,5.59,5.86,5.68,5.69
E12000002,North West,E08000014,Sefton,6.76,6.7,6.34,6.59,6.96
E12000002,North West,E08000015,Wirral,7.29,6.89,6.84,6.5,6.13
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",4.52,4.6,4.24,4.09,4.12
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,7.53,7.14,7.27,6.58,6.42
E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,5.59,5.58,4.89,4.63,4.92
E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,5.48,5.42,5.36,4.99,5.22
E12000003,Yorkshire and The Humber,E06000014,York,8.46,8.92,8.79,8.35,7.75
E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,9.03,8.78,8.97,8.09,7.86
E12000003,Yorkshire and The Humber,E08000017,Doncaster,5.75,5.63,5.39,5.27,5.18
E12000003,Yorkshire and The Humber,E08000018,Rotherham,5.98,5.98,5.78,6.04,5.75
E12000003,Yorkshire and The Humber,E08000032,Bradford,5.44,5.02,5.23,5.21,5.17
E12000003,Yorkshire and The Humber,E08000033,Calderdale,6.03,5.51,5.54,4.78,5.43
E12000003,Yorkshire and The Humber,E08000034,Kirklees,6.8,6.08,6.4,6.17,6.25
E12000003,Yorkshire and The Humber,E08000035,Leeds,7.19,6.74,6.79,6.53,6.48
E12000003,Yorkshire and The Humber,E08000036,Wakefield,6.37,6.32,5.88,5.74,5.58
E12000003,Yorkshire and The Humber,E08000038,Barnsley,5.24,5.76,5.15,4.93,5.05
E12000003,Yorkshire and The Humber,E08000039,Sheffield,6.15,6.33,6.49,5.77,5.88
E12000004,East Midlands,E06000015,Derby,5.17,5.36,5.01,5.28,5.25
E12000004,East Midlands,E06000016,Leicester,7.66,7.69,7.49,7.42,7.18
E12000004,East Midlands,E06000017,Rutland,10.22,9.06,9.34,10.08,8.81
E12000004,East Midlands,E06000018,Nottingham,6,6.11,6.3,5.75,5.74
E12000004,East Midlands,E06000061,North Northamptonshire,8.42,7.95,8.59,7.53,7.27
E12000004,East Midlands,E06000062,West Northamptonshire,9.59,9.05,8.7,7.92,7.83
E12000004,East Midlands,E07000032,Amber Valley,6.78,7.24,7.1,7.02,6.54
E12000004,East Midlands,E07000033,Bolsover,6.5,6.59,5.71,5.87,4.98
E12000004,East Midlands,E07000034,Chesterfield,6.75,6.44,6.49,5.4,5.23
E12000004,East Midlands,E07000035,Derbyshire Dales,10.63,10.17,10.93,9.63,8.94
E12000004,East Midlands,E07000036,Erewash,6.29,6.37,6.17,5.76,6.13
E12000004,East Midlands,E07000037,High Peak,8.5,8.31,8.73,8.16,7.89
E12000004,East Midlands,E07000038,North East Derbyshire,8.31,7.86,8.5,7.29,6.95
E12000004,East Midlands,E07000039,South Derbyshire,7.84,7.76,7.62,6.97,6.5
E12000004,East Midlands,E07000129,Blaby,8.27,7.51,7.93,7.38,6.98
E12000004,East Midlands,E07000130,Charnwood,8.46,7.85,8.19,7.93,7.49
E12000004,East Midlands,E07000131,Harborough,10.89,11.18,10.85,10.49,10.41
E12000004,East Midlands,E07000132,Hinckley and Bosworth,8.56,8.73,7.78,8.05,6.7
E12000004,East Midlands,E07000133,Melton,12.63,8.35,9.44,8.87,8.02
E12000004,East Midlands,E07000134,North West Leicestershire,8.33,8.14,8.25,7.96,8.05
E12000004,East Midlands,E07000135,Oadby and Wigston,10.74,10.74,10.72,9.77,9.15
E12000004,East Midlands,E07000136,Boston,7.64,7.41,6.98,6.34,6.8
E12000004,East Midlands,E07000137,East Lindsey,7.73,7.57,7.25,7.15,7.02
E12000004,East Midlands,E07000138,Lincoln,6.07,5.75,5.46,5.14,5.18
E12000004,East Midlands,E07000139,North Kesteven,8.26,7.8,7.59,7.25,7.02
E12000004,East Midlands,E07000140,South Holland,8.52,8.26,8,7.52,7.81
E12000004,East Midlands,E07000141,South Kesteven,9.09,8.57,8.74,7.88,7.82
E12000004,East Midlands,E07000142,West Lindsey,7.29,6.36,7.29,7.26,6.42
E12000004,East Midlands,E07000170,Ashfield,6.3,5.89,6.42,5.73,5.59
E12000004,East Midlands,E07000171,Bassetlaw,7.44,7.68,7.28,6.57,6.16
E12000004,East Midlands,E07000172,Broxtowe,8.09,8.22,8.11,8.13,7.74
E12000004,East Midlands,E07000173,Gedling,8.36,7.27,7.36,7.31,7.94
E12000004,East Midlands,E07000174,Mansfield,6.62,6.13,5.93,5.6,5.52
E12000004,East Midlands,E07000175,Newark and Sherwood,8.11,8.4,7.59,6.68,7.02
E12000004,East Midlands,E07000176,Rushcliffe,10.01,10.03,11.06,10.66,9.15
E12000005,West Midlands,E06000019,"Herefordshire, County of",10.31,10.18,9.83,8.93,8.76
E12000005,West Midlands,E06000020,Telford and Wrekin,7.28,6.95,7.14,6.47,6.3
E12000005,West Midlands,E06000021,Stoke-on-Trent,4.76,4.68,4.58,4.55,4.44
E12000005,West Midlands,E06000051,Shropshire,9.41,8.36,8.56,8.2,8.03
E12000005,West Midlands,E07000192,Cannock Chase,7.11,7.97,7.56,6.77,6.28
E12000005,West Midlands,E07000193,East Staffordshire,7.93,7.23,6.92,6.25,6.87
E12000005,West Midlands,E07000194,Lichfield,10.59,11.25,9.55,8.73,9.23
E12000005,West Midlands,E07000195,Newcastle-under-Lyme,6.29,6.27,5.72,6.03,6.19
E12000005,West Midlands,E07000196,South Staffordshire,8.47,9.42,8.44,8.05,7.21
E12000005,West Midlands,E07000197,Stafford,7.91,7.55,7.42,6.9,7.46
E12000005,West Midlands,E07000198,Staffordshire Moorlands,6.62,6.77,6.49,7.51,7.3
E12000005,West Midlands,E07000199,Tamworth,8.87,7.96,8.06,7.39,7.32
E12000005,West Midlands,E07000218,North Warwickshire,8.9,7.98,7.89,6.93,7.13
E12000005,West Midlands,E07000219,Nuneaton and Bedworth,8.23,8.58,7.8,7.12,7.12
E12000005,West Midlands,E07000220,Rugby,7.67,7.66,8.71,7.78,6.87
E12000005,West Midlands,E07000221,Stratford-on-Avon,10.79,11.36,11.28,9.89,7.48
E12000005,West Midlands,E07000222,Warwick,10.97,10.71,10.21,9.48,9.74
E12000005,West Midlands,E07000234,Bromsgrove,11.2,11.19,9.91,10.63,9.99
E12000005,West Midlands,E07000235,Malvern Hills,11.86,10.82,10.29,10.08,9.4
E12000005,West Midlands,E07000236,Redditch,7.57,8.91,7.71,7.33,6.92
E12000005,West Midlands,E07000237,Worcester,8.31,7.19,7.36,6.99,6.94
E12000005,West Midlands,E07000238,Wychavon,10.72,10.39,10.14,9.54,8.89
E12000005,West Midlands,E07000239,Wyre Forest,8.05,8.38,7.35,7.48,8.08
E12000005,West Midlands,E08000025,Birmingham,6.6,6.33,6.56,6.17,6.1
E12000005,West Midlands,E08000026,Coventry,6.09,6.38,5.63,5.86,5.52
E12000005,West Midlands,E08000027,Dudley,6.68,6.79,6.84,6.58,6.8
E12000005,West Midlands,E08000028,Sandwell,6.35,6.84,6.69,6.39,6.45
E12000005,West Midlands,E08000029,Solihull,9.16,7.85,9.33,8.63,7.75
E12000005,West Midlands,E08000030,Walsall,6.54,6.48,6.46,6.32,6.38
E12000005,West Midlands,E08000031,Wolverhampton,6.33,6.25,6.26,5.99,6.16
E12000006,East of England,E06000031,Peterborough,7.42,7.49,7.29,7.2,6.71
E12000006,East of England,E06000032,Luton,8.22,8.85,9.15,7.93,8.53
E12000006,East of England,E06000033,Southend-on-Sea,10.99,11.43,10.47,10.41,10.71
E12000006,East of England,E06000034,Thurrock,10.43,9.79,9.66,10.15,8.74
E12000006,East of England,E06000055,Bedford,10.37,9.73,10.22,9.5,9.08
E12000006,East of England,E06000056,Central Bedfordshire,11.23,11.05,10.71,10.36,9.68
E12000006,East of England,E07000008,Cambridge,12.63,12.85,11.91,11.34,10.82
E12000006,East of England,E07000009,East Cambridgeshire,10.98,11.16,10.78,10.24,9.97
E12000006,East of England,E07000010,Fenland,8.95,8,7.72,7.5,7.4
E12000006,East of England,E07000011,Huntingdonshire,9.97,10.03,9.32,9.03,8.66
E12000006,East of England,E07000012,South Cambridgeshire,10.83,10.67,10.72,9.9,9.31
E12000006,East of England,E07000066,Basildon,10.51,11.44,10.51,9.2,9.66
E12000006,East of England,E07000067,Braintree,11.26,10.57,10.82,9.31,9.15
E12000006,East of England,E07000068,Brentwood,15.62,13.07,11.8,11.14,12.88
E12000006,East of England,E07000069,Castle Point,12.24,12.29,11.43,9.39,9.81
E12000006,East of England,E07000070,Chelmsford,12.06,12.38,11.59,9.95,10.74
E12000006,East of England,E07000071,Colchester,10.55,9.88,9.57,8.64,8.44
E12000006,East of England,E07000072,Epping Forest,15.39,15.36,13.39,11.71,12.42
E12000006,East of England,E07000073,Harlow,11.28,10.95,10.12,8.97,8.83
E12000006,East of England,E07000074,Maldon,13.54,12.86,12.21,11.78,11.05
E12000006,East of England,E07000075,Rochford,12.45,12.72,11.38,11.15,11.06
E12000006,East of England,E07000076,Tendring,9.64,9,8.91,9.32,8.02
E12000006,East of England,E07000077,Uttlesford,13.68,13.72,12.21,12.61,11.7
E12000006,East of England,E07000095,Broxbourne,11.33,12.01,12.53,11.14,10.84
E12000006,East of England,E07000096,Dacorum,13.71,13.87,13.29,13.32,11.91
E12000006,East of England,E07000098,Hertsmere,15.53,14.84,14.73,11.84,11.92
E12000006,East of England,E07000099,North Hertfordshire,11.3,11.61,10.69,11.42,9.99
E12000006,East of England,E07000102,Three Rivers,14.14,13.06,11.42,12.11,10.7
E12000006,East of England,E07000103,Watford,12.17,13.91,11.8,10.38,10.97
E12000006,East of England,E07000143,Breckland,9.51,9.49,8.84,8.49,7.88
E12000006,East of England,E07000144,Broadland,9.31,9.15,9.53,8.21,8.09
E12000006,East of England,E07000145,Great Yarmouth,6.9,6.96,7.02,6.75,6.6
E12000006,East of England,E07000146,King's Lynn and West Norfolk,8.92,8.87,8.66,7.47,7.34
E12000006,East of England,E07000147,North Norfolk,11.61,10.72,10.91,10.29,9.32
E12000006,East of England,E07000148,Norwich,7.21,7.8,7.42,6.72,6.51
E12000006,East of England,E07000149,South Norfolk,9.32,9.52,9.01,8.33,8.1
E12000006,East of England,E07000200,Babergh,11.91,12.7,11.97,10.02,10.6
E12000006,East of England,E07000202,Ipswich,7.95,7.34,7.34,7.11,6.64
E12000006,East of England,E07000203,Mid Suffolk,10.32,10.97,10.23,8.4,7.99
E12000006,East of England,E07000240,St Albans,17.63,18.29,18,15.32,15.01
E12000006,East of England,E07000241,Welwyn Hatfield,12.23,10.86,11.17,9.48,9.18
E12000006,East of England,E07000242,East Hertfordshire,12.73,12.83,11.31,10.58,10.66
E12000006,East of England,E07000243,Stevenage,8.33,8.37,8.03,8.44,7.39
E12000006,East of England,E07000244,East Suffolk,9.73,8.5,8.54,8.15,7.83
E12000006,East of England,E07000245,West Suffolk,9.72,9.86,8.78,8.68,7.73
E12000007,London,E09000001,City of London,12.66,13.73,15.08,12.61,11.1
E12000007,London,E09000002,Barking and Dagenham,10.33,11.49,10.95,10.19,9.5
E12000007,London,E09000003,Barnet,16.42,17.34,14.56,16.15,14.86
E12000007,London,E09000004,Bexley,13.26,11.87,11.62,11.07,12.22
E12000007,London,E09000005,Brent,15.46,12.51,15.21,14.94,14.49
E12000007,London,E09000006,Bromley,14.38,13.65,12.71,11.95,12.08
E12000007,London,E09000007,Camden,18.9,18.37,17.87,16.35,14.37
E12000007,London,E09000008,Croydon,11.8,10.72,10.85,9.62,10.62
E12000007,London,E09000009,Ealing,15.9,15.08,14,12.84,13.68
E12000007,London,E09000010,Enfield,14.93,12.68,13.24,11.98,11.89
E12000007,London,E09000011,Greenwich,13.36,14.09,12.51,11.81,12.01
E12000007,London,E09000012,Hackney,15.22,14.01,13.31,12.1,11.9
E12000007,London,E09000013,Hammersmith and Fulham,19.5,18.66,18.28,17.69,13.88
E12000007,London,E09000014,Haringey,16.62,17.21,16.27,14.23,13.44
E12000007,London,E09000015,Harrow,15.38,15.69,15.22,14.47,14.03
E12000007,London,E09000016,Havering,12.51,12.89,10.7,10.19,10.96
E12000007,London,E09000017,Hillingdon,13.12,13.16,12.87,12.13,12.31
E12000007,London,E09000018,Hounslow,11.86,12.17,12.13,11.51,11.26
E12000007,London,E09000019,Islington,15.26,14.68,14.27,14.04,11.75
E12000007,London,E09000020,Kensington and Chelsea,37.01,39.73,33.3,28.21,25.22
E12000007,London,E09000021,Kingston upon Thames,14.7,14.83,14.81,13.51,12.72
E12000007,London,E09000022,Lambeth,15.69,14.39,13.47,11.76,11.05
E12000007,London,E09000023,Lewisham,13.9,12.73,11.88,11.15,11.1
E12000007,London,E09000024,Merton,15.93,16.19,14.62,13.96,14.17
E12000007,London,E09000025,Newham,11.89,10.93,11.32,9.46,10.15
E12000007,London,E09000026,Redbridge,15.72,14.18,14.52,13.09,14.16
E12000007,London,E09000027,Richmond upon Thames,19.35,20.47,18.27,17.14,17.55
E12000007,London,E09000028,Southwark,13.34,12.7,12.93,11.65,10.8
E12000007,London,E09000029,Sutton,13.82,11.9,12.39,11.65,11.41
E12000007,London,E09000030,Tower Hamlets,11.93,10,8.39,7.73,7.5
E12000007,London,E09000031,Waltham Forest,15.39,16.17,14.24,12.97,14.35
E12000007,London,E09000032,Wandsworth,19.11,19.21,17.06,16.52,14.7
E12000007,London,E09000033,Westminster,20.09,24.29,21.51,19.01,16.04
E12000008,South East,E06000035,Medway,9.04,8.92,9.07,8.43,8.35
E12000008,South East,E06000036,Bracknell Forest,9.41,9.41,9.34,8.54,9.13
E12000008,South East,E06000037,West Berkshire,9.84,10.21,9.73,8.68,9.61
E12000008,South East,E06000038,Reading,9.3,8.69,8.82,7.59,7.13
E12000008,South East,E06000039,Slough,8.94,8.51,9.54,9.12,9.28
E12000008,South East,E06000040,Windsor and Maidenhead,15.03,13.62,13.43,12.36,13.28
E12000008,South East,E06000041,Wokingham,11.76,12.73,10.42,10.75,10.52
E12000008,South East,E06000042,Milton Keynes,9.95,9.93,9.21,8.62,8.43
E12000008,South East,E06000043,Brighton and Hove,12.64,12.82,12.05,11.04,10.6
E12000008,South East,E06000044,Portsmouth,7.41,7.32,7.38,6.6,6.7
E12000008,South East,E06000045,Southampton,7.41,7.26,6.92,6.76,6.59
E12000008,South East,E06000046,Isle of Wight,9.86,9.21,9.37,8.1,9.28
E12000008,South East,E06000060,Buckinghamshire,12.31,11.52,11.67,11.28,11.27
E12000008,South East,E07000061,Eastbourne,9.41,9.56,9.17,8.47,7.44
E12000008,South East,E07000062,Hastings,10.7,10.77,10.92,8.36,8.07
E12000008,South East,E07000063,Lewes,11.82,12.34,11.53,12.08,9.66
E12000008,South East,E07000064,Rother,13.7,12.2,12.41,11.41,11.02
E12000008,South East,E07000065,Wealden,13.7,13.42,12.46,11.8,10.75
E12000008,South East,E07000084,Basingstoke and Deane,9.28,9.05,9.24,9,8.78
E12000008,South East,E07000085,East Hampshire,14.21,12.86,12.66,12.24,11.6
E12000008,South East,E07000086,Eastleigh,9.8,10.34,9.78,9.32,8.85
E12000008,South East,E07000087,Fareham,10.79,10.6,9.76,8.81,8.56
E12000008,South East,E07000088,Gosport,6.65,8.27,7.94,6.8,7.15
E12000008,South East,E07000089,Hart,11.37,11.87,12.21,11.84,12.7
E12000008,South East,E07000090,Havant,10.41,10.37,10.22,9.1,9.18
E12000008,South East,E07000091,New Forest,12.33,11.9,11.44,11.43,10.33
E12000008,South East,E07000092,Rushmoor,9.47,9.8,9.22,8.37,8.93
E12000008,South East,E07000093,Test Valley,10.52,10.68,10.46,9.46,9.36
E12000008,South East,E07000094,Winchester,13.81,13.09,12.57,12,10.65
E12000008,South East,E07000105,Ashford,10.94,10.57,11.47,10.22,10.15
E12000008,South East,E07000106,Canterbury,13.01,10.57,11.39,9.69,9.44
E12000008,South East,E07000107,Dartford,9.08,9.48,9.93,9.19,10.07
E12000008,South East,E07000108,Dover,9.25,9.88,8.57,7.57,7.77
E12000008,South East,E07000109,Gravesham,11.03,10.43,8.86,8.88,8.86
E12000008,South East,E07000110,Maidstone,11.26,11.99,11.55,10.28,10.08
E12000008,South East,E07000111,Sevenoaks,14.88,15.75,14.68,13.17,13.43
E12000008,South East,E07000112,Folkestone and Hythe,11.3,10.16,9.32,8.97,8.13
E12000008,South East,E07000113,Swale,10.46,11.13,9.89,9.19,8.77
E12000008,South East,E07000114,Thanet,11.42,10.63,10.54,8.42,8.34
E12000008,South East,E07000115,Tonbridge and Malling,13.36,12.94,12.69,11.54,12.03
E12000008,South East,E07000116,Tunbridge Wells,15.68,14.2,13.42,11.72,11.53
E12000008,South East,E07000177,Cherwell,10.67,10,10.2,9.3,9.29
E12000008,South East,E07000178,Oxford,12.16,11.98,11.6,11.21,10.34
E12000008,South East,E07000179,South Oxfordshire,13.24,11.99,11.1,10.38,10.04
E12000008,South East,E07000180,Vale of White Horse,10.26,9.42,9.82,9.15,8.91
E12000008,South East,E07000181,West Oxfordshire,11.86,11.66,11.18,9.19,9.88
E12000008,South East,E07000207,Elmbridge,17.76,19.19,15.6,16.18,15.74
E12000008,South East,E07000208,Epsom and Ewell,17.48,19.35,16.26,14.89,13.17
E12000008,South East,E07000209,Guildford,13.2,12.64,12.34,10.91,10.99
E12000008,South East,E07000210,Mole Valley,13.37,13.36,13.06,13.65,11.63
E12000008,South East,E07000211,Reigate and Banstead,13.49,14.19,13.41,11.69,11.09
E12000008,South East,E07000212,Runnymede,10.39,11.85,10.54,10.26,9.76
E12000008,South East,E07000213,Spelthorne,11.82,11.18,11.59,10.46,12.22
E12000008,South East,E07000214,Surrey Heath,11.58,11.59,12.32,10.62,11.78
E12000008,South East,E07000215,Tandridge,15.87,14.68,12.44,12.78,13.23
E12000008,South East,E07000216,Waverley,18.24,17,17.02,13.51,13.29
E12000008,South East,E07000217,Woking,12.6,10.98,12.34,10.72,10.6
E12000008,South East,E07000223,Adur,13.81,14.08,11.5,10.16,9.15
E12000008,South East,E07000224,Arun,12.13,12.92,12.38,10.41,10.87
E12000008,South East,E07000225,Chichester,14.46,12.99,14.16,12.64,12.32
E12000008,South East,E07000226,Crawley,9.03,8.97,8.8,7.84,8.46
E12000008,South East,E07000227,Horsham,14.19,13.25,13.47,11.77,11.51
E12000008,South East,E07000228,Mid Sussex,13.56,13.11,12.48,11.45,10.94
E12000008,South East,E07000229,Worthing,11.06,10.97,10.97,9.7,9.57
E12000009,South West,E06000022,Bath and North East Somerset,12.27,11.63,11.3,10.98,10.38
E12000009,South West,E06000023,"Bristol, City of",9.66,9.44,9.29,8.49,8.33
E12000009,South West,E06000024,North Somerset,10.75,10.17,10.17,8.78,9.04
E12000009,South West,E06000025,South Gloucestershire,9.07,8.87,8.4,8.32,8.04
E12000009,South West,E06000026,Plymouth,7.29,7.12,6.41,6.05,6.17
E12000009,South West,E06000027,Torbay,8.77,9.41,9.42,8.43,8.1
E12000009,South West,E06000030,Swindon,7.86,7.51,7.55,7.01,6.95
E12000009,South West,E06000052,Cornwall,11,9.97,9.47,8.9,8.56
E12000009,South West,E06000053,Isles of Scilly,[x],[x],[x],[x],[x]
E12000009,South West,E06000054,Wiltshire,10.31,9.76,9.6,9.01,8.8
E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",11.01,10.18,10.24,9.42,9.13
E12000009,South West,E06000059,Dorset,12.24,11.86,11.09,10.22,9.88
E12000009,South West,E06000066,Somerset,9.37,9.4,9.07,8.17,8.04
E12000009,South West,E07000040,East Devon,10.45,10,10.1,8.73,8.33
E12000009,South West,E07000041,Exeter,9.38,9.42,9.23,8.84,8.34
E12000009,South West,E07000042,Mid Devon,9.45,10.99,9.59,8.54,8.39
E12000009,South West,E07000043,North Devon,10.68,10.33,10.1,9.43,9.16
E12000009,South West,E07000044,South Hams,12.44,12.25,13.35,11.81,11.38
E12000009,South West,E07000045,Teignbridge,11.41,10.56,11.17,9.63,8.74
E12000009,South West,E07000046,Torridge,10.29,10.28,10.48,9.48,8.21
E12000009,South West,E07000047,West Devon,12.78,10.49,10.06,8.32,7.81
E12000009,South West,E07000078,Cheltenham,10.53,9.08,8.93,8.32,7.78
E12000009,South West,E07000079,Cotswold,15.7,14.35,15.32,14.01,13.43
E12000009,South West,E07000080,Forest of Dean,10.59,8.79,9.78,8.9,8.22
E12000009,South West,E07000081,Gloucester,7.54,7.96,7.59,7.23,7.19
E12000009,South West,E07000082,Stroud,10.28,9.74,9.76,9.65,9.08
E12000009,South West,E07000083,Tewkesbury,9.34,8.95,9.28,8.14,7.81
W92000004,Wales,W06000001,Isle of Anglesey,7.15,7.65,6.84,6,6.12
W92000004,Wales,W06000002,Gwynedd,6.93,6.48,5.98,6.32,5.89
W92000004,Wales,W06000003,Conwy,7.66,6.81,7.34,7.04,6.77
W92000004,Wales,W06000004,Denbighshire,6.65,6.13,6.15,5.81,5.91
W92000004,Wales,W06000005,Flintshire,6.5,6.16,5.93,5.28,5.42
W92000004,Wales,W06000006,Wrexham,6.13,6.06,5.76,5.59,5.26
W92000004,Wales,W06000008,Ceredigion,7.81,8.42,7.68,7.49,6.93
W92000004,Wales,W06000009,Pembrokeshire,7.34,6.89,7.18,6.76,6.15
W92000004,Wales,W06000010,Carmarthenshire,5.8,5.67,5.48,5.5,5.76
W92000004,Wales,W06000011,Swansea,6.1,5.95,5.8,5.6,5.43
W92000004,Wales,W06000012,Neath Port Talbot,4.45,4.33,4.25,4.21,4.41
W92000004,Wales,W06000013,Bridgend,5.79,6.85,6.17,6.24,5.98
W92000004,Wales,W06000014,Vale of Glamorgan,9.41,9.86,9.7,8.53,7.87
W92000004,Wales,W06000015,Cardiff,8.26,7.7,7.4,7.26,6.96
W92000004,Wales,W06000016,Rhondda Cynon Taf,5.04,5.22,4.65,4.67,4.71
W92000004,Wales,W06000018,Caerphilly,5.31,5.79,5.23,5.69,5.75
W92000004,Wales,W06000019,Blaenau Gwent,3.66,4.6,4.56,4.08,4.34
W92000004,Wales,W06000020,Torfaen,5.82,5.59,5.42,5.02,5.55
W92000004,Wales,W06000021,Monmouthshire,10.25,9.96,9.41,8.57,7.98
W92000004,Wales,W06000022,Newport,7.35,6.9,7.46,6.88,6.28
W92000004,Wales,W06000023,Powys,8.02,8.21,7.91,7.34,7.86
W92000004,Wales,W06000024,Merthyr Tydfil,4.94,4.87,4.84,4.9,4.57